,channel_id,channel_name,playlist_id
0,UC1I-wWC6QxyoV1vdAuAUGDw,ANTIHYPE,UU1I-wWC6QxyoV1vdAuAUGDw
0,UCVUaz3RaaHZ4OUODMClYpGw,BORCREW OFFICIAL,UUVUaz3RaaHZ4OUODMClYpGw
0,UCq55pMyL5QAJ0uayJWWdUUg,DOPEHOUSE RECORDS,UUq55pMyL5QAJ0uayJWWdUUg
0,UC3JHEsao4Jx4jwYiiXbwkTA,GHETTO MUSIC,UU3JHEsao4Jx4jwYiiXbwkTA
0,UC7MynQgPge50ZpCntUBO-Tw,OU7SIDE,UU7MynQgPge50ZpCntUBO-Tw
0,UCX0OCU1rH9loE-zZFcBJ65w,QueQuality,UUX0OCU1rH9loE-zZFcBJ65w
0,UCTIyVgnTO9gGZBFq6GRJvUQ,SBM Label,UUTIyVgnTO9gGZBFq6GRJvUQ
