,video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption
1947,_mrl72yx0RE,QueQuality,Nieznanyklarenz - BLIND (prod. SiwySiwek),2565,"['blind', 'siwysiwek', 'nieznanyklarenz', 'nieznany', 'klarenz', 'ofbitwarmup mixtape', 'ofbit', 'warmup', 'mixtape', 'mlode wielki', 'quequality', 'quebonafide']",2016-07-18T17:04:07Z,PT4M8S,hd,false
1948,pJ_F1hHGEZI,QueQuality,Nieznanyklarenz - Czarny Wilk (prod. Szpalowsky),2568,"['czarny wilk', 'wilk', 'szpalowsky', 'nieznanyklarenz', 'nieznany', 'klarenz', 'ofbitwarmup mixtape', 'ofbit', 'warmup', 'mixtape', 'mlode wielki', 'quequality', 'quebonafide']",2016-07-18T17:04:03Z,PT4M16S,hd,false
1949,Lbs8mWH8En8,QueQuality,Nieznanyklarenz - Czas (prod. Faded Dollars),2573,"['czas', 'nieznanyklarenz', 'nieznany', 'klarenz', 'ofbitwarmup mixtape', 'ofbit', 'warmup', 'mixtape', 'mlode wielki', 'quequality', 'quebonafide']",2016-07-18T17:03:58Z,PT3M40S,hd,false
1950,kA_IMjS8QkA,QueQuality,2Na – Zanim zgaśnie reaktor (prod. Electric Mantis),849,"['2na', '2Na', 'dwa en a', 'zanim zgasnie reaktor', 'electric mantis', 'quequality', 'hip-hop 2.0', 'odsluch', 'quebonafide', 'zanim', 'zgaśnie', 'reaktor']",2016-07-12T19:35:15Z,PT3M53S,hd,false
1951,S1UhNAmuUAE,QueQuality,Futuryje - Bobo (yes remix),795,"['futuryje', 'gugas', 'fredro', 'bobo', 'żyłem jak bobo', 'yes remix', 'fresher', 'quequality', 'quebonafide', 'hip-hop dwa zero', 'hip hop 2.0']",2016-07-12T19:30:51Z,PT3M7S,hd,false
1952,hOYHYF7VPyw,QueQuality,Flaszki i szlugi – Złoty zegarek (prod. Brat Jordah),872,"['flaszki i szlugi', 'flaszki', 'szlugi', 'złoty', 'zegarek', 'zloty zegarek', 'quequality', 'chyba na pewno', 'nareszcie', 'hip hop dwa zero', 'hip-hop 2.0', 'quebonafide', 'krol swiata', 'brat jordah']",2016-07-12T19:28:47Z,PT3M36S,hd,false
1953,6avFcwZMLrA,QueQuality,PlanBe – Na dłoni (prod. GeezyBeatz) / HIP-HOP 2.0,811,"['planbe', 'plan', 'be', 'planb', 'na dłoni', 'geezybeatz', 'hip-hop 2.0', 'hip hop dwa zero', 'quequality', 'quebonafide', 'mam swój cały świat']",2016-07-12T13:18:11Z,PT3M51S,hd,false
1954,4XJ8l5hrCQY,QueQuality,"Quebonafide - Luís Nazário de Lima (prod. SoDrumatic, cuty DJ Ike)",939,"['quebonafide', 'quebo', 'egzotyka', 'ronaldo', 'luiz', 'nazario', 'de', 'lima', 'el fenomeno', 'Luís Nazário de Lima', 'brasil', 'brazylia', 'egzotyka tour', 'quequality', 'dj ike', 'sodrumatic']",2016-07-10T11:04:53Z,PT3M48S,hd,true
1955,e1PcPByfqso,QueQuality,Nieznanyklarenz - Boli Ale Pomaga (prod. nznklarenz),2518,"['nieznanyklarenz', 'nieznany', 'klarenz', 'boli ale pomaga', 'boli', 'ale', 'pomaga', 'ofbitwarmup', 'mixtape', 'quequality', 'odsluch', 'mlode wilki']",2016-07-03T12:40:56Z,PT5M11S,hd,false
1956,drlDIztp6pc,QueQuality,"Kaz Bałagane x 2sty – Jeden strzał (prod. GeezyBeatz, cuty DJ Flip) / HIP-HOP 2.0",958,"['kaz bałagane', 'kaz', 'balagane', '2sty', 'tusty', 'jeden strzał', 'jeden', 'strzał', 'quequality', 'prosto', 'step records', 'hip hop 2.0', 'hip hop dwa zero', 'odsluch']",2016-07-02T09:59:15Z,PT2M32S,hd,false
1957,e2icBAvTvVI,QueQuality,Q - Not found (instrumental CONTACT LENS),412,"['QQ', 'purpurowy jedi', 'que', 'quequality', 'not found', 'contact lens', 'instrumental', 'sesh', 'kooza', 'apriljoke']",2016-06-30T12:50:01Z,PT1M26S,hd,false
1958,aCZ8560CKCo,QueQuality,QBIK - Fejm (prod. Wojdvs),780,"['qbik', 'QBIK', 'kubik', 'fejm', 'Wojdvs', 'quequality', 'trapsolwent', 'odsłuch', 'dawaj fejm']",2016-06-29T13:46:53Z,PT2M31S,hd,false
1959,qvsOEdiL8KM,QueQuality,EMAS ft. Kobik – Nie mogę tego spierdolić (prod. EljotSounds)  / HIP-HOP 2.0,950,"['emas', 'kobik', 'nie mogę tego spierdolić', 'quequality', 'hip-hop 2.0', 'paluch', 'bor', 'pięć minut sławy', 'nie moge', 'spierdolic', 'b.o.r.', '10/29', 'emdoas', 'quebonafide']",2016-06-27T15:09:43Z,PT3M51S,hd,false
1960,HwXgsutJAVc,QueQuality,Nieznanyklarenz - Muszę wiedzieć (prod. nznklarenz),2538,"['nieznanyklarenz', 'nieznany', 'klarenz', 'musze wiedziec', 'muszę', 'wiedzieć', 'ofbitwarmup mixtape', 'mixtape', 'quequality', 'mash-up']",2016-06-26T16:37:47Z,PT3M48S,hd,false
1961,P4Pxw4l-2EE,QueQuality,Futuryje ft. ToTen - Kiedyś,415,"['futuryje', 'fredro', 'gugas', 'toten', 'quequality', 'fresher than a mutherfucker', 'kiedys', 'kiedyś']",2016-06-23T13:48:30Z,PT3M38S,hd,false
1962,DOjMiuZY4pE,QueQuality,"Quebonafide - QueQuality (prod. Got Barss, cuty DJ Flip) / HIP-HOP 2.0",873,"['quebonafide', 'quebo', 'quequality', 'got barss', 'dj flip', 'to jest quequality', 'hip hop 2.0', 'hip hop dwa zero', 'ezoteryka', 'egzotyka']",2016-06-22T13:56:39Z,PT2M26S,hd,false
1963,oG7nTgqZswM,QueQuality,Szesnasty - Guma Turbo (prod. HVZX),1491,"['szesnasty', '16', 'guma turbo', 'guma', 'turbo', 'hvzx', 'quequality', 'pan tu nie stał', 'pan tu nie stal', 'eripe', 'bialas']",2016-06-21T18:14:38Z,PT3M41S,hd,false
1964,wmym3IMRe68,QueQuality,Wac Toja – Klik Klik Bang (prod. August) / HIP-HOP 2.0,1290,"['wac toja', 'klik klik bang', 'klik klak', 'bang', 'wac', 'toja', 'quequality', 'hip-hop 2.0', 'hip hop dwa zero', 'quebonafide', 'trfn', 'każdy dzien', 'zabija mnie']",2016-06-20T14:35:26Z,PT4M47S,hd,false
1965,_i-128QSEf4,QueQuality,"Quebonafide ft. Krzy Krzysztof – Wesoła Ekipa (prod. SoDrumatic, cuty DJ Flip) / HIP-HOP 2.0",1044,"['quebonafide', 'quebo', 'krzy krzysztof', 'wesola ekipa', 'wesoła', 'ekipa', 'krzycha', 'sodrumatic', 'dj flip', 'to wesoła ekipa', 'hypeman', 'przygody wesolego hypemana', 'quequality', 'hip hop dwa zero', 'hip hop 2.0']",2016-06-18T15:31:16Z,PT3M37S,hd,false
