,channel_id,total_videos,views,subscribers,time
0,UC1I-wWC6QxyoV1vdAuAUGDw,76,343085140,447000,2022-11-20 09:59:48.684797
0,UCVUaz3RaaHZ4OUODMClYpGw,598,2107903844,1830000,2022-11-20 09:59:48.684797
0,UCq55pMyL5QAJ0uayJWWdUUg,42,217756007,254000,2022-11-20 09:59:48.684797
0,UC3JHEsao4Jx4jwYiiXbwkTA,289,289719644,388000,2022-11-20 09:59:48.684797
0,UC7MynQgPge50ZpCntUBO-Tw,90,124593038,144000,2022-11-20 09:59:48.684797
0,UCX0OCU1rH9loE-zZFcBJ65w,1147,2837800641,2390000,2022-11-20 09:59:48.684797
0,UCTIyVgnTO9gGZBFq6GRJvUQ,1482,4195792072,3270000,2022-11-20 09:59:48.684797
