channels_names,links,channels_ids
ANTIHYPE,https://hiphop.pl/kanaly-hip-hop/antihype,UC1I-wWC6QxyoV1vdAuAUGDw
BORCREW OFFICIAL,https://hiphop.pl/kanaly-hip-hop/bor-crew,UCVUaz3RaaHZ4OUODMClYpGw
DOPEHOUSE RECORDS,https://hiphop.pl/kanaly-hip-hop/dopehouse-records,UCq55pMyL5QAJ0uayJWWdUUg
OU7SIDE,https://hiphop.pl/kanaly-hip-hop/ou7side,UC7MynQgPge50ZpCntUBO-Tw
QueQuality,https://hiphop.pl/kanaly-hip-hop/quequality,UCX0OCU1rH9loE-zZFcBJ65w
